"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name","year"
26,61,"Константиновск",41.1037541240937,47.5829585871546,17.1,6,"условно комфортный климат",29,33,22,17,16,30,147,"https://api.индекс-городов.рф/uploads/city/emblem/307/thumb_309_konstantinovsk.png","Ростовская область","Малый город",2018
27,36,"Кувандык",57.3741688574495,51.4759536370475,23.4,6,"условно комфортный климат",33,29,20,16,17,33,148,"https://api.индекс-городов.рф/uploads/city/emblem/338/thumb_340_kuvandik.png","Оренбургская область","Малый город",2018
28,80,"Кыштым",60.5448829233992,55.7080835630267,36.4,5,"условно комфортный климат",35,29,14,26,33,35,172,"https://api.индекс-городов.рф/uploads/city/emblem/352/thumb_354_kyshtym.gif","Челябинская область","Малый город",2018
29,25,"Луга",29.8499674928673,58.7380325563626,35,5,"условно комфортный климат",26,29,41,38,35,30,199,"https://api.индекс-городов.рф/uploads/city/emblem/372/thumb_374_luga.gif","Ленинградская область","Малый город",2018
30,33,"Малая Вишера",32.2201001791356,58.8472339132876,10.4,6,"условно комфортный климат",22,29,18,23,29,19,140,"https://api.индекс-городов.рф/uploads/city/emblem/387/thumb_389_malaya_vishera.png","Новгородская область","Малый город",2018
31,7,"Меленки",41.6304401337142,55.3368704750066,13.6,6,"условно комфортный климат",37,27,25,32,26,32,179,"https://api.индекс-городов.рф/uploads/city/emblem/404/thumb_406_melenki.png","Владимирская область","Малый город",2018
32,32,"Навашино",42.1960030591427,55.532593025163,14.7,6,"условно комфортный климат",37,30,25,24,25,32,173,"https://api.индекс-городов.рф/uploads/city/emblem/428/thumb_430_navashino.png","Нижегородская область","Малый город",2018
33,67,"Невьянск",60.2172100989456,57.4861560202558,22.9,6,"условно комфортный климат",39,28,20,35,26,32,180,"https://api.индекс-городов.рф/uploads/city/emblem/437/thumb_439_nevyansk.png","Свердловская область","Малый город",2018
34,10,"Новохоперск",41.6179717961522,51.0888773801755,6,6,"условно комфортный климат",26,17,15,19,21,31,129,"https://api.индекс-городов.рф/uploads/city/emblem/470/thumb_472_novokhopersk.png","Воронежская область","Малый город",2018
35,8,"Палласовка",46.8870227074313,50.0466195552463,14.7,6,"условно комфортный климат",30,39,19,14,22,29,153,"https://api.индекс-городов.рф/uploads/city/emblem/503/thumb_505_pallasovka.png","Волгоградская область","Малый город",2018
36,69,"Починок",32.4436749612648,54.405402502502,8.3,6,"условно комфортный климат",28,26,20,27,21,36,158,"https://api.индекс-городов.рф/uploads/city/emblem/536/thumb_538_pochinok.png","Смоленская область","Малый город",2018
37,69,"Рудня",31.0687271461772,54.9488103861151,9.5,6,"условно комфортный климат",24,25,26,20,15,28,138,"https://api.индекс-городов.рф/uploads/city/emblem/561/thumb_563_Rudnaya.png","Смоленская область","Малый город",2018
38,62,"Сасово",41.9396251877413,54.3546063225125,24.5,5,"условно комфортный климат",35,27,36,19,25,30,172,"https://api.индекс-городов.рф/uploads/city/emblem/569/thumb_571_Sasovo.png","Рязанская область","Малый город",2018
39,25,"Светогорск",28.86204450809,61.1044422889625,15.4,6,"условно комфортный климат",36,32,25,24,23,32,172,"https://api.индекс-городов.рф/uploads/city/emblem/577/thumb_579_Svetogorsk.png","Ленинградская область","Малый город",2018
40,19,"Советск",48.9683282230401,57.6021597515711,15.4,6,"условно комфортный климат",28,26,45,15,20,32,166,"https://api.индекс-городов.рф/uploads/city/emblem/605/thumb_607_sovetsk.png","Кировская область","Малый город",2018
41,26,"Грязи",39.9442413421743,52.4898367011671,46.6,5,"условно комфортный климат",39,25,37,18,23,38,180,"https://api.индекс-городов.рф/uploads/city/emblem/152/thumb_152_gryazi.png","Липецкая область","Малый город",2018
42,5,"Строитель",36.4852471256104,50.7919437268982,24,6,"условно комфортный климат",43,36,18,27,24,30,178,"https://api.индекс-городов.рф/uploads/city/emblem/635/thumb_637_stroitel.png","Белгородская область","Малый город",2018
43,56,"Томмот",126.263244047181,58.9498191368963,6.8,6,"тяжелые климатические условия",8,13,12,12,8,31,84,"https://api.индекс-городов.рф/uploads/city/emblem/670/thumb_672_tommot.gif","Республика Саха (Якутия)","Малый город",2018
44,24,"Фатеж",35.8583381913757,52.0908540882373,6,6,"условно комфортный климат",36,33,31,18,19,29,166,"https://api.индекс-городов.рф/uploads/city/emblem/704/thumb_706_fatezh.png","Курская область","Малый город",2018
45,29,"Черноголовка",38.4047789482736,56.0184456696816,21.1,6,"условно комфортный климат",40,35,31,30,32,31,199,"https://api.индекс-городов.рф/uploads/city/emblem/726/thumb_729_chernogolovka.png","Московская область","Малый город",2018
46,32,"Шахунья",46.6179743058658,57.672909022077,19.8,6,"условно комфортный климат",20,18,32,25,22,22,139,"https://api.индекс-городов.рф/uploads/city/emblem/738/thumb_741_shakhunia.png","Нижегородская область","Малый город",2018
47,46,"Южно-Сухокумск",45.6497532637977,44.6585393243513,10.6,6,"условно комфортный климат",25,24,11,21,16,28,125,"https://api.индекс-городов.рф/uploads/city/emblem/756/thumb_759_yuzhno-sukhokumsk.gif","Республика Дагестан","Малый город",2018
