"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name"
2101,154,"Балаково",47.7957055479558,52.0083215003084,187.5,10,"условно комфортный климат",40,28,25,30,32,36,191,"https://api.индекс-городов.рф/uploads/city/emblem/2101/thumb_990_Balakovo.png","Саратовская область","Большой город"
2108,120,"Великий Новгород",31.2858512867247,58.5629963322675,224.9,10,"условно комфортный климат",47,41,32,33,41,34,228,"https://api.индекс-городов.рф/uploads/city/emblem/2108/thumb_997_Velikiy_Novgorod.png","Новгородская область","Большой город"
2131,116,"Подольск",37.553302939062,55.4322299584641,308.1,9,"условно комфортный климат",44,27,24,37,28,35,195,"https://api.индекс-городов.рф/uploads/city/emblem/2131/thumb_1020_Podolsk.png","Московская область","Крупный город"
2159,150,"Чебоксары",47.2469506040384,56.1139439266635,497.6,9,"условно комфортный климат",49,35,30,34,25,37,210,"https://api.индекс-городов.рф/uploads/city/emblem/2159/thumb_1048_Cheboksary.png","Чувашская Республика","Крупный город"
2188,151,"Ростов-на-Дону",39.6813375859113,47.2377341731098,1137.9,8,"условно комфортный климат",39,26,16,30,41,41,193,"https://api.индекс-городов.рф/uploads/city/emblem/2188/thumb_1077_Rostov_Na_Donu.png","Ростовская область","Крупнейший город"
2215,156,"Лесной",59.70964998822,58.6402631417834,49.3,12,"условно комфортный климат",39,33,25,19,42,39,197,"https://api.индекс-городов.рф/uploads/city/emblem/2215/thumb_1105_Lesnoy.png","Свердловская область","Малый город"
2224,126,"Чайковский",54.1287567413402,56.7449385520268,82.4,11,"условно комфортный климат",30,31,15,23,26,34,159,"https://api.индекс-городов.рф/uploads/city/emblem/2224/thumb_1114_chaikovsky.png","Пермский край","Средний город"
1375,137,"Карачаевск",41.9035451157221,43.7690055424874,20.8,13,"условно комфортный климат",50,24,22,13,17,23,149,"https://api.индекс-городов.рф/uploads/city/emblem/1375/thumb_262_Karachaevsk.png","Республика Карачаево-Черкесия","Малый город"
1548,118,"Нарьян-Мар",53.0257814629205,67.6364519592468,25.2,13,"тяжелые климатические условия",29,33,21,27,26,38,174,"https://api.индекс-городов.рф/uploads/city/emblem/1548/thumb_436_naryan_mar.png","Ненецкий автономный округ","Малый город"
1902,100,"Краснокаменск",118.034590993028,50.0906345075796,51.4,11,"условно комфортный климат",26,27,23,17,20,29,142,"https://api.индекс-городов.рф/uploads/city/emblem/1902/thumb_791_krasnokamensk.png","Забайкальский край","Средний город"
1115,148,"Абаза",90.0946195742823,52.6346490370383,15,13,"условно комфортный климат",37,25,23,14,16,35,150,"https://api.индекс-городов.рф/uploads/city/emblem/1115/thumb_1_Abaza.png","Республика Хакасия","Малый город"
1116,123,"Абдулино",53.6745983659175,53.6785240816437,18.6,13,"условно комфортный климат",35,26,9,18,14,35,137,"https://api.индекс-городов.рф/uploads/city/emblem/1116/thumb_2_Abdulino.png","Оренбургская область","Малый город"
1117,109,"Абинск",38.1588368269625,44.8716435179201,39.1,12,"условно комфортный климат",29,18,12,21,21,34,135,"https://api.индекс-городов.рф/uploads/city/emblem/1117/thumb_3_Abinsk.jpg","Краснодарский край","Малый город"
1145,154,"Аркадак",43.5049415606086,51.929024370375,11.5,13,"условно комфортный климат",24,24,31,17,19,30,145,"https://api.индекс-городов.рф/uploads/city/emblem/1145/thumb_31_arkadak.png","Саратовская область","Малый город"
1173,125,"Белинский",43.406406752633,52.9666965756313,7.5,13,"условно комфортный климат",25,37,34,32,15,28,171,"https://api.индекс-городов.рф/uploads/city/emblem/1173/thumb_59_belinsky.png","Пензенская область","Малый город"
1198,145,"Болгар",49.0433021088702,54.9698584318837,8.2,13,"условно комфортный климат",29,30,21,20,17,36,153,"https://api.индекс-городов.рф/uploads/city/emblem/1198/thumb_84_bolgar.png","Республика Татарстан","Малый город"
1339,89,"Змеиногорск",82.2004631594979,51.1621228184687,10.2,13,"условно комфортный климат",24,17,26,17,21,36,141,"https://api.индекс-городов.рф/uploads/city/emblem/1339/thumb_226_Zmeinogorsk.png","Алтайский край","Малый город"
1365,89,"Камень-на-Оби",81.3218895486593,53.7790987690892,40.5,12,"условно комфортный климат",24,24,15,17,21,42,143,"https://api.индекс-городов.рф/uploads/city/emblem/1365/thumb_252_Kamen-na-obi.gif","Алтайский край","Малый город"
1366,95,"Камешково",41.0056892741644,56.3493067950008,12,13,"условно комфортный климат",26,33,20,29,27,32,167,"https://api.индекс-городов.рф/uploads/city/emblem/1366/thumb_253_Kameshkovo.png","Владимирская область","Малый город"
1422,152,"Кораблино",40.0304077335829,53.9233194459303,11.1,13,"условно комфортный климат",26,38,33,21,20,35,173,"https://api.индекс-городов.рф/uploads/city/emblem/1422/thumb_310_korablino.gif","Рязанская область","Малый город"
1504,124,"Малоархангельск",36.4995513507554,52.4044596232122,3.2,14,"условно комфортный климат",43,31,19,25,27,33,178,"https://api.индекс-городов.рф/uploads/city/emblem/1504/thumb_392_maloarhangelsk.png","Орловская область","Малый город"
